scenario,max_flow_depth,inundated_pixels,max_eta,is_train,log_max_eta,square_max_eta
2_PS_2798/2720_E02020N3739E02658N3366-PS-Mur_PYes_Hom-M861_E02401N3479_S003,1.693945,7856,0.5388926,FALSE,-0.26849777,0.290405234
4_PS_2798/0464_E01548N3896E01854N3659-PS-Str_PYes_Var-M732_E01742N3823_S000,0.66291285,2776,0.13622892,FALSE,-0.8657307,0.018558319
4_PS_2798/0017_E01548N3896E01854N3659-PS-Str_PYes_Hom-M792_E01725N3727_S000,1.7236104,8584,0.8765113,FALSE,-0.057242494,0.768272059
10_PS_2803/2096_E02020N3739E02658N3366-PS-Mur_PYes_Hom-M871_E02243N3539_S003,4.015793,22968,1.668184,FALSE,0.22224396,2.782837858
9_PS_2798/2066_E02020N3739E02658N3366-PS-Mur_PYes_Var-M837_E02210N3611_S000,1.1565665,5555,0.4294125,FALSE,-0.3671253,0.184395095
8_PS_2798/1281_E02020N3739E02658N3366-PS-Mur_PYes_Var-M902_E02279N3514_S005,6.339337,138783,2.2003427,FALSE,0.34249032,4.841507997
10_PS_2803/1318_E02113N3823E02873N3483-PS-Mur_PNo_Hom-M809_E02226N3707_S000,0.81635326,3174,0.22795476,FALSE,-0.64215136,0.051963373
4_PS_2798/1435_E02020N3739E02658N3366-PS-Mur_PYes_Hom-M880_E02236N3526_S001,4.0138483,24379,1.67683,FALSE,0.22448905,2.811758849
3_PS_2798/1659_E02020N3739E02658N3366-PS-Str_PYes_Var-M871_E02239N3505_S005,5.7162066,42689,1.9614419,FALSE,0.29257545,3.847254327
9_PS_2798/0955_E02020N3739E02658N3366-PS-Str_PYes_Hom-M871_E02225N3486_S005,4.4090586,20409,1.796164,FALSE,0.25434598,3.226205115
9_PS_2798/2754_E02113N3823E02873N3483-PS-Mur_PNo_Hom-M871_E02335N3587_S005,2.8095074,23694,1.466954,FALSE,0.1664165,2.151954038
2_PS_2798/1741_E02020N3739E02658N3366-PS-Str_PYes_Var-M871_E02426N3465_S001,3.0714288,16559,0.9815707,FALSE,-0.008078405,0.963481039
7_PS_2798/0570_E02020N3739E02658N3366-PS-Str_PNo_Hom-M861_E02204N3672_S004,2.9439523,22564,1.3132603,FALSE,0.11835082,1.724652616
5_PS_2798/0162_E01548N3896E01854N3659-PS-Str_PYes_Var-M824_E01715N3697_S000,5.857652,88013,2.2550192,FALSE,0.35315025,5.085111592
9_PS_2798/0893_E02020N3739E02658N3366-PS-Mur_PYes_Var-M861_E02344N3478_S004,2.8303504,15471,1.0635365,FALSE,0.026752409,1.131109887
6_PS_2798/1210_E02020N3739E02658N3366-PS-Mur_PYes_Hom-M824_E02340N3518_S000,0.78754497,4026,0.2570186,FALSE,-0.59003544,0.066058561
7_PS_2798/0845_E02020N3739E02658N3366-PS-Str_PYes_Var-M871_E02126N3687_S002,4.0059767,45152,1.4139829,FALSE,0.15044415,1.999347641
2_PS_2798/1391_E01517N3917E01678N3772-PS-Str_PNo_Var-M809_E01619N3854_S000,1.8895522,9193,0.47571537,FALSE,-0.32265282,0.226305113
7_PS_2798/0652_E02020N3739E02658N3366-PS-Mur_PYes_Var-M837_E02129N3665_S000,1.6968659,8320,0.60944206,FALSE,-0.21506758,0.371419624
PS_2798/1554_E02020N3739E02658N3366-PS-Mur_PYes_Hom-M902_E02287N3526_S001,4.6325903,54626,1.7153376,FALSE,0.23434962,2.942383082
2_PS_2798/2723_E01548N3896E01854N3659-PS-Mur_PYes_Hom-M809_E01628N3741_S000,1.792924,9791,1.0617386,FALSE,0.02601761,1.127288855
3_PS_2798/0570_E02020N3739E02658N3366-PS-Str_PYes_Var-M880_E02188N3566_S001,6.7381053,66193,2.5945597,FALSE,0.41406366,6.731740037
PS_2798/2353_E02020N3739E02658N3366-PS-Str_PYes_Var-M861_E02366N3438_S001,3.00268,22780,0.99451184,FALSE,-0.002390041,0.9890538
5_PS_2798/1855_E02020N3739E02658N3366-PS-Str_PYes_Var-M861_E02212N3482_S005,4.165887,45201,1.8461963,FALSE,0.26627788,3.408440778
8_PS_2798/2277_E01849N3766E02950N3220-PS-Mur_PYes_Hom-M861_E02061N3628_S005,3.302251,20881,1.6696312,FALSE,0.22262056,2.787668344
