ID,mean_prob
E01267N3753E01646N3535-BS-M754_E01502N3737_D172_S112D50R090_A001972_S039,4.2423972657601196e-08
E01267N3753E01646N3535-BS-M754_E01527N3715_D010_S157D50R090_A001972_S039,3.0918093124392545e-08
E01470N3877E01631N3641-BS-M754_E01534N3760_D010_S157D30R090_A003524_S022,2.985275326048473e-08
E01470N3877E01631N3641-BS-M774_E01534N3760_D010_S337D50R090_A005608_S028,3.366062281296061e-08
E01470N3877E01631N3641-BS-M707_E01583N3715_D010_S202D50R090_A001194_S013,6.101572880013563e-08
E01470N3877E01631N3641-BS-M754_E01538N3782_D010_S157D50R090_A003524_S022,4.3692258198756746e-08
E01267N3753E01646N3535-BS-M754_E01551N3692_D010_S247D50R090_A001972_S039,3.140188616097372e-08
E01889N4173E02097N3847-BS-M792_E02025N3917_D010_S292D30R090_A008541_S034,4.1493159727763526e-07
E01267N3753E01646N3535-BS-M754_E01527N3715_D010_S337D50R090_A001972_S039,2.987917107704365e-08
E01267N3753E01646N3535-BS-M754_E01527N3715_D091_S337D50R090_A001972_S039,2.987917107704365e-08
E01470N3877E01631N3641-BS-M754_E01555N3715_D010_S112D30R090_A003524_S022,4.8394626149192e-08
